Feasibility selection for M+S^(bar(E))_3 with selection size 0.1 and up to 20 cut rounds,,,,,
filename,size,density,percent_gap_closed,nb_subproblems,nb_sdp_cuts
spar020-100-1,20,100,0.982574526,1105,880
spar020-100-2,20,100,0.891550991,1105,877
spar020-100-3,20,100,0.98424312,1122,896
spar030-060-1,30,60,0.828630961,2786,2780
spar030-060-2,30,60,0.999991105,2565,2048
spar030-060-3,30,60,0.859659571,3034,2646
spar030-070-1,30,70,0.794944667,3116,2799
spar030-070-2,30,70,0.964103825,2953,2559
spar030-070-3,30,70,0.915603451,3459,2542
spar030-080-1,30,80,0.813937198,3438,2744
spar030-080-2,30,80,0.99674605,3240,2534
spar030-080-3,30,80,0.998905077,3656,2555
spar030-090-1,30,90,0.896013809,3760,3381
spar030-090-2,30,90,0.879410989,3811,3038
spar030-090-3,30,90,0.931962914,3691,2941
spar030-100-1,30,100,0.838371963,4005,3200
spar030-100-2,30,100,0.810144239,4005,3200
spar030-100-3,30,100,0.867878976,4005,3165
spar040-030-1,40,30,0.999689348,3180,2226
spar040-030-2,40,30,0.975091014,3320,2441
spar040-030-3,40,30,0.983150702,3105,2679
spar040-040-1,40,40,0.806416101,5044,4942
spar040-040-2,40,40,0.965059623,5191,4479
spar040-040-3,40,40,0.825603096,4738,4687
spar040-050-1,40,50,0.832699671,6348,5341
spar040-050-2,40,50,0.860784447,6351,5227
spar040-050-3,40,50,0.868838599,6437,5431
spar040-060-1,40,60,0.804063915,7187,6109
spar040-060-2,40,60,0.918240237,6895,5628
spar040-060-3,40,60,0.963490571,7312,5338
spar040-070-1,40,70,0.871096674,7591,5713
spar040-070-2,40,70,0.872928715,7922,5975
spar040-070-3,40,70,0.87799538,8306,6743
spar040-080-1,40,80,0.83993045,8913,6767
spar040-080-2,40,80,0.847154409,8102,6110
spar040-080-3,40,80,0.8639105,9103,6752
spar040-090-1,40,90,0.823639599,9574,7455
spar040-090-2,40,90,0.815417137,9604,6481
spar040-090-3,40,90,0.864188741,9508,7164
spar040-100-1,40,100,0.836422621,9769,7683
spar040-100-2,40,100,0.790022479,9805,7840
spar040-100-3,40,100,0.72524075,9734,6811
spar050-030-1,50,30,0.981360972,8365,6787
spar050-030-2,50,30,0.838445892,7890,6780
spar050-030-3,50,30,0.865104674,8111,7627
spar050-040-1,50,40,0.86282993,11134,9241
spar050-040-2,50,40,0.85137264,10210,8362
spar050-040-3,50,40,0.911314929,10248,8617
spar050-050-1,50,50,0.739262669,13253,11072
spar050-050-2,50,50,0.808427072,12117,9804
spar050-050-3,50,50,0.823201324,13618,11072
spar060-020-1,60,20,0.89448348,10426,9601
spar060-020-2,60,20,0.999951193,8480,6784
spar060-020-3,60,20,0.83566178,8704,8421
spar070-025-1,70,25,0.833138265,22446,18509
spar070-025-2,70,25,0.784617352,21894,19746
spar070-025-3,70,25,0.836002513,23426,19775
spar070-050-1,70,50,0.786374646,40277,31978
spar070-050-2,70,50,0.818790164,37855,29911
spar070-050-3,70,50,0.868429431,39004,31175
spar070-075-1,70,75,0.744181243,48838,34181
spar070-075-2,70,75,0.722599867,49873,34909
spar070-075-3,70,75,0.731806361,49682,34776
spar080-025-1,80,25,0.840475251,35323,31757
spar080-025-2,80,25,0.753435676,36374,34995
spar080-025-3,80,25,0.823192623,41078,39651
spar080-050-1,80,50,0.730260589,62862,46011
spar080-050-2,80,50,0.806385627,59693,42127
spar080-050-3,80,50,0.78560176,61874,42025
spar080-075-1,80,75,0.727166956,75163,40000
spar080-075-2,80,75,0.732049167,74359,40000
spar080-075-3,80,75,0.731359722,75388,40000
spar090-025-1,90,25,0.768304486,58353,49411
spar090-025-2,90,25,0.786816109,57881,49287
spar090-025-3,90,25,0.799472896,59969,49483
spar090-050-1,90,50,0.754159407,89966,54614
spar090-050-2,90,50,0.791531276,89897,53912
spar090-050-3,90,50,0.788030713,90172,53169
spar090-075-1,90,75,0.685926606,107376,55000
spar090-075-2,90,75,0.687071789,108584,45000
spar090-075-3,90,75,0.696697477,108621,45000
spar100-025-1,100,25,0.760713248,82504,62410
spar100-025-2,100,25,0.771104099,78435,57742
spar100-025-3,100,25,0.789028963,78307,57854
spar100-050-1,100,50,0.714930301,129027,70000
spar100-050-2,100,50,0.734586417,128795,70000
spar100-050-3,100,50,0.740073464,126877,65000
spar100-075-1,100,75,0.681622345,149692,55000
spar100-075-2,100,75,0.685752949,149038,55000
spar100-075-3,100,75,0.688948089,149087,55000
spar125-025-1,125,25,0.717850199,187825,90000
spar125-025-2,125,25,0.755846039,186028,100000
spar125-025-3,125,25,0.770978913,187196,90000
spar125-050-1,125,50,0.705836179,257490,90000
spar125-050-2,125,50,0.702317279,256087,90000
spar125-050-3,125,50,0.706711825,260654,95000
spar125-075-1,125,75,0.670798953,301569,70000
spar125-075-2,125,75,0.653271305,301543,75000
spar125-075-3,125,75,0.660945466,297483,75000
