Optimality selection (neural nets) for M+barSP3star with selection size 0.1 and up to 20 cut rounds,,,,,,
filename,size,density,percent_gap_closed,nb_subproblems,nb_sdp_cuts,size_P3Eplus
spar020-100-1,20,100,0.970573901,1105,596,1140
spar020-100-2,20,100,0.874087642,1105,638,1140
spar020-100-3,20,100,0.97293697,1122,694,1140
spar030-060-1,30,60,0.816084355,1985,1149,4060
spar030-060-2,30,60,0.999783771,1782,768,4060
spar030-060-3,30,60,0.849467979,2499,1182,4060
spar030-070-1,30,70,0.782349812,2527,1284,4060
spar030-070-2,30,70,0.951614397,2427,1195,4060
spar030-070-3,30,70,0.894323236,2927,1202,4060
spar030-080-1,30,80,0.802454063,3184,1578,4060
spar030-080-2,30,80,0.98830061,2946,1247,4060
spar030-080-3,30,80,0.99525864,3383,1410,4060
spar030-090-1,30,90,0.887587402,3602,1879,4060
spar030-090-2,30,90,0.866986159,3742,1861,4060
spar030-090-3,30,90,0.922365561,3584,1853,4060
spar030-100-1,30,100,0.826401458,4004,1808,4060
spar030-100-2,30,100,0.803012951,4004,2143,4060
spar030-100-3,30,100,0.853283115,4005,2034,4060
spar040-030-1,40,30,0.988752665,1075,371,9880
spar040-030-2,40,30,0.936464813,1259,389,9880
spar040-030-3,40,30,0.935054319,1178,583,9880
spar040-040-1,40,40,0.789203555,2277,1413,9880
spar040-040-2,40,40,0.928748743,2421,1190,9880
spar040-040-3,40,40,0.805206863,2328,1482,9880
spar040-050-1,40,50,0.818741342,3679,1765,9880
spar040-050-2,40,50,0.843221567,3824,1549,9880
spar040-050-3,40,50,0.859251966,3946,1859,9880
spar040-060-1,40,60,0.795648727,5008,2409,9880
spar040-060-2,40,60,0.904050193,4579,2179,9880
spar040-060-3,40,60,0.950567529,5587,2518,9880
spar040-070-1,40,70,0.859283192,6199,2533,9880
spar040-070-2,40,70,0.861987919,6284,2684,9880
spar040-070-3,40,70,0.868346768,6860,2739,9880
spar040-080-1,40,80,0.831450518,8045,3376,9880
spar040-080-2,40,80,0.83681526,7406,3158,9880
spar040-080-3,40,80,0.855594891,8500,3599,9880
spar040-090-1,40,90,0.816884191,9208,4264,9880
spar040-090-2,40,90,0.805240195,9351,3864,9880
spar040-090-3,40,90,0.852507756,9229,4136,9880
spar040-100-1,40,100,0.825776802,9765,4174,9880
spar040-100-2,40,100,0.78478844,9803,4428,9880
spar040-100-3,40,100,0.718782595,9727,4564,9880
spar050-030-1,50,30,0.955263167,2617,1507,19600
spar050-030-2,50,30,0.79269152,2733,1728,19600
spar050-030-3,50,30,0.827458996,2583,1512,19600
spar050-040-1,50,40,0.84702671,4759,2591,19600
spar050-040-2,50,40,0.834902369,4969,2465,19600
spar050-040-3,50,40,0.89577827,4784,2507,19600
spar050-050-1,50,50,0.729992086,7861,3739,19600
spar050-050-2,50,50,0.796356317,7239,3220,19600
spar050-050-3,50,50,0.814954357,8133,3672,19600
spar060-020-1,60,20,0.842838381,1904,1335,34220
spar060-020-2,60,20,0.975649058,1968,1034,34220
spar060-020-3,60,20,0.753467437,1973,1385,34220
spar070-025-1,70,25,0.799657182,5298,3345,54740
spar070-025-2,70,25,0.747906746,4936,3474,54740
spar070-025-3,70,25,0.814343599,5941,3371,54740
spar070-050-1,70,50,0.777023637,22535,8203,54740
spar070-050-2,70,50,0.809035457,19488,7944,54740
spar070-050-3,70,50,0.857932533,21262,7878,54740
spar070-075-1,70,75,0.74167415,41968,16776,54740
spar070-075-2,70,75,0.719501158,41995,17001,54740
spar070-075-3,70,75,0.728124018,41931,14916,54740
spar080-025-1,80,25,0.813887048,8079,4853,82160
spar080-025-2,80,25,0.724563653,7810,5063,82160
spar080-025-3,80,25,0.796203802,9028,5285,82160
spar080-050-1,80,50,0.72430578,34943,12887,82160
spar080-050-2,80,50,0.799465244,31025,11294,82160
spar080-050-3,80,50,0.77874206,32371,11699,82160
spar080-075-1,80,75,0.723817778,64145,18670,82160
spar080-075-2,80,75,0.728203342,62784,20381,82160
spar080-075-3,80,75,0.726908778,63932,19662,82160
spar090-025-1,90,25,0.751561149,12536,7192,117480
spar090-025-2,90,25,0.767782761,12365,6852,117480
spar090-025-3,90,25,0.780632723,13147,6284,117480
spar090-050-1,90,50,0.74878483,49184,17267,117480
spar090-050-2,90,50,0.78518727,46700,16106,117480
spar090-050-3,90,50,0.780837146,47147,16605,117480
spar090-075-1,90,75,0.680697194,91858,22378,117480
spar090-075-2,90,75,0.683221709,91348,22162,117480
spar090-075-3,90,75,0.691575026,91862,22071,117480
spar100-025-1,100,25,0.742590342,17471,9863,161700
spar100-025-2,100,25,0.750867966,17003,9243,161700
spar100-025-3,100,25,0.770679107,17363,8700,161700
spar100-050-1,100,50,0.708755501,70547,19488,161700
spar100-050-2,100,50,0.72740698,67079,18770,161700
spar100-050-3,100,50,0.733536946,67004,18991,161700
spar100-075-1,100,75,0.676744152,126921,23642,161700
spar100-075-2,100,75,0.680242085,125182,23184,161700
spar100-075-3,100,75,0.683211377,126646,22865,161700
spar125-025-1,125,25,0.708064105,38674,18106,317750
spar125-025-2,125,25,0.745190715,38338,18069,317750
spar125-025-3,125,25,0.760158096,38829,15913,317750
spar125-050-1,125,50,0.697484592,139699,21543,317750
spar125-050-2,125,50,0.694682189,140298,22032,317750
spar125-050-3,125,50,0.699559149,142327,22110,317750
spar125-075-1,125,75,0.663335616,257960,28913,317750
spar125-075-2,125,75,0.646611287,256785,29452,317750
spar125-075-3,125,75,0.65269045,252663,29133,317750
