Feasibility selection for M+S3 with selection size 0.1,,,,,
filename,size,density,percent_gap_closed,nb_subproblems,nb_sdp_cuts
spar020-100-1,20,100,0.982392118,1051,840
spar020-100-2,20,100,0.891454696,1070,853
spar020-100-3,20,100,0.984964439,1086,972
spar030-060-1,30,60,0.828130513,756,975
spar030-060-2,30,60,0.999979363,668,528
spar030-060-3,30,60,0.859496694,1197,1190
spar030-070-1,30,70,0.79401925,1200,1200
spar030-070-2,30,70,0.963706834,1174,1053
spar030-070-3,30,70,0.915437721,1470,1323
spar030-080-1,30,80,0.814145172,2003,2000
spar030-080-2,30,80,0.996944475,1780,1602
spar030-080-3,30,80,0.999019014,2083,1664
spar030-090-1,30,90,0.896046897,2551,2295
spar030-090-2,30,90,0.879512016,2956,2655
spar030-090-3,30,90,0.932035267,2643,2376
spar030-100-1,30,100,0.838368916,3838,3064
spar030-100-2,30,100,0.810220658,3923,3528
spar030-100-3,30,100,0.867896665,3865,3051
spar040-030-1,40,30,0.999743699,243,216
spar040-030-2,40,30,0.966903073,281,308
spar040-030-3,40,30,0.959929944,234,276
spar040-040-1,40,40,0.801805594,567,896
spar040-040-2,40,40,0.958887389,613,793
spar040-040-3,40,40,0.817247406,621,930
spar040-050-1,40,50,0.827871157,1114,1332
spar040-050-2,40,50,0.858767414,1217,1331
spar040-050-3,40,50,0.868694988,1266,1512
spar040-060-1,40,60,0.803685621,1861,1860
spar040-060-2,40,60,0.917263518,1619,1610
spar040-060-3,40,60,0.963352145,2381,2142
spar040-070-1,40,70,0.871048722,2995,2691
spar040-070-2,40,70,0.872605014,2889,2592
spar040-070-3,40,70,0.877940849,3347,3006
spar040-080-1,40,80,0.83985213,4742,3792
spar040-080-2,40,80,0.847052932,4520,3616
spar040-080-3,40,80,0.86383277,5418,4300
spar040-090-1,40,90,0.82354792,6491,5192
spar040-090-2,40,90,0.8154617,7002,5484
spar040-090-3,40,90,0.86417223,6906,5411
spar040-100-1,40,100,0.836456281,9395,8451
spar040-100-2,40,100,0.789921722,9579,6699
spar040-100-3,40,100,0.72531834,9251,6475
spar050-030-1,50,30,0.974006935,467,644
spar050-030-2,50,30,0.809069632,514,816
spar050-030-3,50,30,0.834468865,479,752
spar050-040-1,50,40,0.857976379,1078,1391
spar050-040-2,50,40,0.848525505,1310,1572
spar050-040-3,50,40,0.909602397,1186,1534
spar050-050-1,50,50,0.737730907,2400,2640
spar050-050-2,50,50,0.807346185,2323,2552
spar050-050-3,50,50,0.82241831,2548,2794
spar060-020-1,60,20,0.842131652,275,513
spar060-020-2,60,20,0.998389828,322,384
spar060-020-3,60,20,0.770279022,330,594
spar070-025-1,70,25,0.80112343,787,1248
spar070-025-2,70,25,0.741215062,736,1387
spar070-025-3,70,25,0.818266941,915,1365
spar070-050-1,70,50,0.786200404,6608,5940
spar070-050-2,70,50,0.818539244,5287,5280
spar070-050-3,70,50,0.868122761,6058,5445
spar070-075-1,70,75,0.74413291,22200,15540
spar070-075-2,70,75,0.722550852,21114,16888
spar070-075-3,70,75,0.731751021,21320,17056
spar080-025-1,80,25,0.823309505,1217,1815
spar080-025-2,80,25,0.715632458,1062,1908
spar080-025-3,80,25,0.802343232,1319,2227
spar080-050-1,80,50,0.730098422,10258,9225
spar080-050-2,80,50,0.806206668,8680,7812
spar080-050-3,80,50,0.785519503,8863,7974
spar080-075-1,80,75,0.727304731,33045,26432
spar080-075-2,80,75,0.732149967,31783,22246
spar080-075-3,80,75,0.731467566,32786,26224
spar090-025-1,90,25,0.754311678,1839,2745
spar090-025-2,90,25,0.768261875,1737,2595
spar090-025-3,90,25,0.78912621,1872,2618
spar090-050-1,90,50,0.754255411,14205,12780
spar090-050-2,90,50,0.791467054,12738,11457
spar090-050-3,90,50,0.788018961,12780,11502
spar090-075-1,90,75,0.68595622,47607,33320
spar090-075-2,90,75,0.687278738,46098,36872
spar090-075-3,90,75,0.696905577,46718,37368
spar100-025-1,100,25,0.741933334,2306,3450
spar100-025-2,100,25,0.750664997,2332,3495
spar100-025-3,100,25,0.777944707,2468,3690
spar100-050-1,100,50,0.715037218,20119,16088
spar100-050-2,100,50,0.734683332,18045,16236
spar100-050-3,100,50,0.740353294,18378,16533
spar100-075-1,100,75,0.681782458,64945,40000
spar100-075-2,100,75,0.685811722,63004,35000
spar100-075-3,100,75,0.689009552,64757,40000
spar125-025-1,125,25,0.713181836,5219,6773
spar125-025-2,125,25,0.751761859,5356,6955
spar125-025-3,125,25,0.765736987,5212,6252
spar125-050-1,125,50,0.706914734,39432,31544
spar125-050-2,125,50,0.703497104,40048,32032
spar125-050-3,125,50,0.707404066,40525,28364
spar125-075-1,125,75,0.671105102,133242,50000
spar125-075-2,125,75,0.653616887,132145,55000
spar125-075-3,125,75,0.661366081,129267,55000
