size,density,opt_M+S^E_3,feas_M+S^E_3,opt_M+S^bar(E)_3,feas_M+S^bar(E)_3,opt_M+S(P*_3)_3,|P^E_3|,|P^bar(E)_3|,|bar(P^*_3)|,|P^E+_3|
Small,Low,88.45,91.41,88.2,92.24,89.41,389.0,3995.0,1654.0,9880.0
,Medium,86.28,87.86,86.52,87.97,86.85,1250.0,5024.0,3413.0,7345.0
,High,85.9,87.13,86.04,87.13,86.07,3104.0,4725.0,4404.0,5235.0
Medium,Low,80.73,84.73,81.8,87.25,83.79,616.0,11531.0,3402.0,29126.0
,Medium,78.99,80.59,79.07,80.65,79.66,3799.0,22509.0,12763.0,32755.0
,High,72.72,73.28,72.96,73.28,72.97,21540.0,49462.0,41965.0,54740.0
Large,Low,74.41,77.46,73.88,79.47,77.19,1473.0,46935.0,10252.0,98245.0
,Medium,76.26,77.55,75.88,77.56,76.91,11055.0,74379.0,39504.0,98245.0
,High,70.54,70.99,70.4,70.97,70.54,39022.0,90061.0,76374.0,98245.0
Jumbo,Low,72.41,75.0,71.31,76.06,74.6,3530.0,122106.0,25829.0,226672.0
,Medium,70.94,71.78,69.85,71.73,71.01,27441.0,181912.0,97975.0,226672.0
,High,66.77,67.37,66.61,67.34,66.7,91917.0,211684.0,179703.0,226672.0
